SLURM_JOBID=71732
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 3.040002, worked 2512320,  iter 7, rank 2
Local work time: 2.930999, worked 2431760,  iter 7, rank 12
Local work time: 3.191021, worked 2443700,  iter 7, rank 1
Local work time: 3.233974, worked 2540100,  iter 7, rank 0
Local work time: 3.227999, worked 2474180,  iter 7, rank 5
Local work time: 3.168002, worked 2517080,  iter 7, rank 6
Local work time: 3.223992, worked 2553560,  iter 7, rank 11
Local work time: 3.252000, worked 2461880,  iter 7, rank 9
Local work time: 3.346968, worked 2552240,  iter 7, rank 8
Local work time: 3.159999, worked 2467560,  iter 7, rank 13
Local work time: 3.365996, worked 2481740,  iter 7, rank 10
Local work time: 3.427001, worked 2522300,  iter 7, rank 3
Local work time: 3.422999, worked 2492020,  iter 7, rank 7
Local work time: 3.480999, worked 2483400,  iter 7, rank 15
Local work time: 3.592994, worked 2526900,  iter 7, rank 4
Local work time: 3.576998, worked 2539260,  iter 7, rank 14
Local work time: 3.021999, worked 2612040,  iter 8, rank 1
Local work time: 3.039993, worked 2490460,  iter 8, rank 15
Local work time: 3.086998, worked 2528580,  iter 8, rank 13
Local work time: 3.186997, worked 2477640,  iter 8, rank 11
Local work time: 3.137998, worked 2493960,  iter 8, rank 7
Local work time: 3.258001, worked 2495400,  iter 8, rank 14
Local work time: 3.222998, worked 2514380,  iter 8, rank 10
Local work time: 3.172033, worked 2518000,  iter 8, rank 6
Local work time: 3.322992, worked 2529780,  iter 8, rank 0
Local work time: 3.215998, worked 2478940,  iter 8, rank 4
Local work time: 3.272998, worked 2459380,  iter 8, rank 5
Local work time: 3.430999, worked 2436900,  iter 8, rank 12
Local work time: 3.443000, worked 2417340,  iter 8, rank 3
Local work time: 3.548998, worked 2541580,  iter 8, rank 2
Local work time: 3.629998, worked 2573860,  iter 8, rank 8
Local work time: 3.581000, worked 2431760,  iter 8, rank 9
Local work time: 2.890999, worked 2495320,  iter 9, rank 5
Local work time: 3.151984, worked 2482740,  iter 9, rank 0
Local work time: 3.118000, worked 2518820,  iter 9, rank 3
Local work time: 3.168007, worked 2529240,  iter 9, rank 2
Local work time: 3.167002, worked 2482200,  iter 9, rank 7
Local work time: 3.159006, worked 2445680,  iter 9, rank 13
Local work time: 3.359000, worked 2486300,  iter 9, rank 1
Local work time: 3.348000, worked 2514020,  iter 9, rank 10
Local work time: 3.486999, worked 2499960,  iter 9, rank 14
Local work time: 3.536000, worked 2501160,  iter 9, rank 15
Local work time: 3.538000, worked 2520800,  iter 9, rank 4
Local work time: 3.481996, worked 2514620,  iter 9, rank 9
Local work time: 3.570999, worked 2492020,  iter 9, rank 8
Local work time: 3.528999, worked 2511960,  iter 9, rank 12
Local work time: 3.735999, worked 2546480,  iter 9, rank 6
Local work time: 3.807003, worked 2458680,  iter 9, rank 11
Local work time: 2.919998, worked 2482080,  iter 10, rank 5
Local work time: 2.972000, worked 2492640,  iter 10, rank 9
Local work time: 2.984000, worked 2509880,  iter 10, rank 4
Local work time: 3.101001, worked 2501180,  iter 10, rank 10
Local work time: 3.178990, worked 2497140,  iter 10, rank 0
Local work time: 3.152941, worked 2476960,  iter 10, rank 13
Local work time: 3.231999, worked 2497840,  iter 10, rank 1
Local work time: 3.298000, worked 2454160,  iter 10, rank 11
Local work time: 3.388000, worked 2555100,  iter 10, rank 12
Local work time: 3.415994, worked 2512100,  iter 10, rank 6
Local work time: 3.449013, worked 2489980,  iter 10, rank 7
Local work time: 3.529007, worked 2540260,  iter 10, rank 2
Local work time: 3.534998, worked 2487320,  iter 10, rank 8
Local work time: 3.558999, worked 2488120,  iter 10, rank 14
Local work time: 3.648000, worked 2543420,  iter 10, rank 3
Local work time: 3.757941, worked 2471820,  iter 10, rank 15
Total time: 40.789982
Local work time: 2.872002, worked 2509860,  iter 1, rank 1
Local work time: 2.953989, worked 2470200,  iter 1, rank 12
Local work time: 2.989988, worked 2499580,  iter 1, rank 6
Local work time: 3.025001, worked 2512460,  iter 1, rank 9
Local work time: 3.077001, worked 2497960,  iter 1, rank 13
Local work time: 3.175988, worked 2505500,  iter 1, rank 2
Local work time: 3.186988, worked 2594540,  iter 1, rank 0
Local work time: 3.275998, worked 2425160,  iter 1, rank 7
Local work time: 3.293001, worked 2440240,  iter 1, rank 15
Local work time: 3.336001, worked 2482260,  iter 1, rank 10
Local work time: 3.424998, worked 2521400,  iter 1, rank 5
Local work time: 3.469988, worked 2484580,  iter 1, rank 8
Local work time: 3.409995, worked 2492100,  iter 1, rank 11
Local work time: 3.539989, worked 2524240,  iter 1, rank 4
Local work time: 3.596989, worked 2531000,  iter 1, rank 3
Local work time: 3.565005, worked 2508920,  iter 1, rank 14
Local work time: 2.920010, worked 2477000,  iter 2, rank 3
Local work time: 2.918902, worked 2445580,  iter 2, rank 6
Local work time: 3.079996, worked 2494400,  iter 2, rank 5
Local work time: 3.204970, worked 2497960,  iter 2, rank 13
Local work time: 3.244996, worked 2465100,  iter 2, rank 11
Local work time: 3.234997, worked 2452160,  iter 2, rank 7
Local work time: 3.265015, worked 2470200,  iter 2, rank 12
Local work time: 3.269027, worked 2536260,  iter 2, rank 10
Local work time: 3.307997, worked 2524240,  iter 2, rank 4
Local work time: 3.376987, worked 2567540,  iter 2, rank 0
Local work time: 3.388998, worked 2538580,  iter 2, rank 8
Local work time: 3.445997, worked 2485460,  iter 2, rank 9
Local work time: 3.570997, worked 2563860,  iter 2, rank 1
Local work time: 3.653998, worked 2532500,  iter 2, rank 2
Local work time: 3.679990, worked 2467240,  iter 2, rank 15
Local work time: 3.871000, worked 2481920,  iter 2, rank 14
Local work time: 2.718002, worked 2541360,  iter 3, rank 3
Local work time: 3.107974, worked 2535020,  iter 3, rank 0
Local work time: 3.068002, worked 2520940,  iter 3, rank 4
Local work time: 3.234998, worked 2491660,  iter 3, rank 8
Local work time: 3.196999, worked 2501980,  iter 3, rank 2
Local work time: 3.176008, worked 2403920,  iter 3, rank 13
Local work time: 3.383998, worked 2540800,  iter 3, rank 10
Local work time: 3.412998, worked 2493720,  iter 3, rank 14
Local work time: 3.525000, worked 2536000,  iter 3, rank 1
Local work time: 3.420999, worked 2468000,  iter 3, rank 12
Local work time: 3.566996, worked 2505900,  iter 3, rank 15
Local work time: 3.527000, worked 2489680,  iter 3, rank 9
Local work time: 3.583999, worked 2577680,  iter 3, rank 11
Local work time: 3.637998, worked 2534400,  iter 3, rank 5
Local work time: 3.472999, worked 2424360,  iter 3, rank 7
Local work time: 3.622998, worked 2434580,  iter 3, rank 6
Local work time: 2.577051, worked 2472520,  iter 4, rank 7
Local work time: 2.675103, worked 2517300,  iter 4, rank 1
Local work time: 2.663998, worked 2466340,  iter 4, rank 13
Local work time: 2.639012, worked 2543260,  iter 4, rank 8
Local work time: 2.777986, worked 2546960,  iter 4, rank 3
Local work time: 2.923000, worked 2517380,  iter 4, rank 9
Local work time: 2.931999, worked 2441340,  iter 4, rank 15
Local work time: 3.031998, worked 2554680,  iter 4, rank 12
Local work time: 3.098990, worked 2493380,  iter 4, rank 2
Local work time: 3.114006, worked 2524120,  iter 4, rank 14
Local work time: 3.118998, worked 2403260,  iter 4, rank 5
Local work time: 3.277044, worked 2534580,  iter 4, rank 6
Local work time: 3.047015, worked 2332940,  iter 4, rank 11
Local work time: 3.292038, worked 2563280,  iter 4, rank 10
Local work time: 3.347990, worked 2511860,  iter 4, rank 0
Local work time: 3.554998, worked 2576800,  iter 4, rank 4
Local work time: 2.935008, worked 2527100,  iter 5, rank 3
Local work time: 2.948999, worked 2533680,  iter 5, rank 11
Local work time: 2.961012, worked 2452320,  iter 5, rank 4
Local work time: 2.957999, worked 2471100,  iter 5, rank 1
Local work time: 3.004000, worked 2481020,  iter 5, rank 6
Local work time: 3.104999, worked 2526400,  iter 5, rank 9
Local work time: 3.099993, worked 2486580,  iter 5, rank 7
Local work time: 3.168999, worked 2489060,  iter 5, rank 8
Local work time: 3.150002, worked 2472280,  iter 5, rank 5
Local work time: 3.271982, worked 2516980,  iter 5, rank 2
Local work time: 3.204998, worked 2454440,  iter 5, rank 15
Local work time: 3.289985, worked 2532700,  iter 5, rank 10
Local work time: 3.271011, worked 2503500,  iter 5, rank 12
Local work time: 3.303999, worked 2496700,  iter 5, rank 13
Local work time: 3.463988, worked 2505000,  iter 5, rank 0
Local work time: 3.445005, worked 2551140,  iter 5, rank 14
Local work time: 2.974999, worked 2470940,  iter 6, rank 2
Local work time: 3.010999, worked 2568140,  iter 6, rank 6
Local work time: 3.026001, worked 2525320,  iter 6, rank 13
Local work time: 3.113009, worked 2481940,  iter 6, rank 3
Local work time: 3.213998, worked 2517680,  iter 6, rank 4
Local work time: 3.259995, worked 2625820,  iter 6, rank 5
Local work time: 3.142998, worked 2512580,  iter 6, rank 10
Local work time: 3.180000, worked 2455140,  iter 6, rank 1
Local work time: 3.159000, worked 2484280,  iter 6, rank 11
Local work time: 3.155999, worked 2422280,  iter 6, rank 7
Local work time: 3.408988, worked 2542420,  iter 6, rank 0
Local work time: 3.264019, worked 2499060,  iter 6, rank 12
Local work time: 3.222998, worked 2373180,  iter 6, rank 9
Local work time: 3.538998, worked 2543400,  iter 6, rank 14
Local work time: 3.522999, worked 2465440,  iter 6, rank 8
Local work time: 3.934001, worked 2512380,  iter 6, rank 15
Local work time: 2.753004, worked 2522300,  iter 7, rank 3
Local work time: 2.796026, worked 2537980,  iter 7, rank 2
Local work time: 2.806968, worked 2494560,  iter 7, rank 13
Local work time: 2.997998, worked 2525240,  iter 7, rank 8
Local work time: 3.173000, worked 2472560,  iter 7, rank 11
Local work time: 3.032999, worked 2420180,  iter 7, rank 5
Local work time: 3.264985, worked 2508740,  iter 7, rank 10
Local work time: 3.123000, worked 2499900,  iter 7, rank 4
Local work time: 3.269998, worked 2512760,  iter 7, rank 12
Local work time: 3.312999, worked 2461880,  iter 7, rank 9
Local work time: 3.276998, worked 2463080,  iter 7, rank 6
Local work time: 3.316001, worked 2519020,  iter 7, rank 7
Local work time: 3.563998, worked 2499040,  iter 7, rank 1
Local work time: 3.602999, worked 2512260,  iter 7, rank 14
Local work time: 3.705990, worked 2567100,  iter 7, rank 0
Local work time: 3.740000, worked 2483400,  iter 7, rank 15
Local work time: 2.575007, worked 2492860,  iter 8, rank 8
Local work time: 2.681998, worked 2512760,  iter 8, rank 9
Local work time: 2.678002, worked 2466960,  iter 8, rank 7
Local work time: 3.099999, worked 2514380,  iter 8, rank 10
Local work time: 3.088998, worked 2495400,  iter 8, rank 14
Local work time: 3.149998, worked 2518000,  iter 8, rank 6
Local work time: 3.239987, worked 2600900,  iter 8, rank 0
Local work time: 3.221996, worked 2501580,  iter 8, rank 13
Local work time: 3.186006, worked 2490460,  iter 8, rank 15
Local work time: 3.263980, worked 2477640,  iter 8, rank 11
Local work time: 3.185987, worked 2432920,  iter 8, rank 1
