SLURM_JOBID=71772
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 2.965752, worked 2951520, iter 5, rank 3
Local work time: 3.373130, worked 3359940, iter 5, rank 8
Local work time: 3.457669, worked 3446160, iter 5, rank 4
Local work time: 3.822533, worked 3810660, iter 5, rank 7
Local work time: 3.842188, worked 3831160, iter 5, rank 5
Local work time: 4.008418, worked 3997740, iter 5, rank 6
Local work time: 1.351398, worked 1324800, iter 6, rank 15
Local work time: 1.356178, worked 1332920, iter 6, rank 0
Local work time: 1.439664, worked 1416800, iter 6, rank 1
Local work time: 1.443859, worked 1419760, iter 6, rank 14
Local work time: 1.721158, worked 1700540, iter 6, rank 13
Local work time: 1.733406, worked 1713700, iter 6, rank 2
Local work time: 2.167261, worked 2150480, iter 6, rank 3
Local work time: 2.187379, worked 2169620, iter 6, rank 12
Local work time: 2.655055, worked 2641080, iter 6, rank 4
Local work time: 2.666981, worked 2651240, iter 6, rank 11
Local work time: 3.165277, worked 3151360, iter 6, rank 10
Local work time: 3.170061, worked 3158120, iter 6, rank 5
Local work time: 3.598434, worked 3587160, iter 6, rank 6
Local work time: 3.651343, worked 3639820, iter 6, rank 9
Local work time: 3.963170, worked 3952280, iter 6, rank 7
Local work time: 4.001438, worked 3990320, iter 6, rank 8
Local work time: 1.345207, worked 1323280, iter 7, rank 1
Local work time: 1.355753, worked 1332060, iter 7, rank 2
Local work time: 1.431426, worked 1408980, iter 7, rank 0
Local work time: 1.579378, worked 1558840, iter 7, rank 3
Local work time: 1.607065, worked 1579880, iter 7, rank 15
Local work time: 1.891498, worked 1873640, iter 7, rank 4
Local work time: 2.023953, worked 2001700, iter 7, rank 14
Local work time: 2.340334, worked 2325900, iter 7, rank 5
Local work time: 2.456742, worked 2440440, iter 7, rank 13
Local work time: 2.835816, worked 2823140, iter 7, rank 6
Local work time: 2.961016, worked 2947900, iter 7, rank 12
Local work time: 3.383352, worked 3370700, iter 7, rank 7
Local work time: 3.436520, worked 3423220, iter 7, rank 11
