SLURM_JOBID=71755
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 3.066710, worked 3019640, iter 3, rank 6
Local work time: 3.291030, worked 3244820, iter 3, rank 4
Local work time: 4.633848, worked 4601260, iter 3, rank 7
Local work time: 5.032863, worked 4998260, iter 3, rank 3
Local work time: 6.594338, worked 6569380, iter 3, rank 0
Local work time: 7.016195, worked 6988500, iter 3, rank 2
Local work time: 7.931815, worked 7908300, iter 3, rank 1
Local work time: 2.760094, worked 2707440, iter 4, rank 6
Local work time: 3.078384, worked 3029980, iter 4, rank 5
Local work time: 3.288495, worked 3244120, iter 4, rank 7
Local work time: 4.627686, worked 4589840, iter 4, rank 4
Local work time: 5.032225, worked 5000560, iter 4, rank 0
Local work time: 6.636811, worked 6607300, iter 4, rank 3
Local work time: 6.940627, worked 6914780, iter 4, rank 1
Local work time: 7.930625, worked 7905980, iter 4, rank 2
Local work time: 2.765306, worked 2711280, iter 5, rank 7
Local work time: 2.923624, worked 2874080, iter 5, rank 6
Local work time: 3.576966, worked 3534500, iter 5, rank 0
Local work time: 4.270730, worked 4231520, iter 5, rank 5
Local work time: 5.403232, worked 5373560, iter 5, rank 1
Local work time: 6.220151, worked 6189340, iter 5, rank 4
Local work time: 7.301704, worked 7277320, iter 5, rank 2
Local work time: 7.834115, worked 7808400, iter 5, rank 3
Local work time: 2.794988, worked 2744560, iter 6, rank 7
Local work time: 2.800951, worked 2749720, iter 6, rank 0
Local work time: 3.901264, worked 3864180, iter 6, rank 1
Local work time: 3.913369, worked 3870160, iter 6, rank 6
Local work time: 5.827650, worked 5799200, iter 6, rank 2
Local work time: 5.834038, worked 5802600, iter 6, rank 5
Local work time: 7.565392, worked 7539440, iter 6, rank 3
Local work time: 7.655345, worked 7630140, iter 6, rank 4
Local work time: 2.783576, worked 2732260, iter 7, rank 0
Local work time: 2.940436, worked 2890900, iter 7, rank 1
Local work time: 3.625431, worked 3581580, iter 7, rank 7
Local work time: 4.233903, worked 4199540, iter 7, rank 2
Local work time: 5.422095, worked 5388340, iter 7, rank 6
Local work time: 6.220130, worked 6193840, iter 7, rank 3
Local work time: 7.269314, worked 7240400, iter 7, rank 5
Local work time: 7.796088, worked 7773140, iter 7, rank 4
Local work time: 2.734555, worked 2682360, iter 8, rank 1
Local work time: 3.089543, worked 3042520, iter 8, rank 2
Local work time: 3.352546, worked 3308860, iter 8, rank 0
Local work time: 4.627543, worked 4596720, iter 8, rank 3
Local work time: 4.995425, worked 4961280, iter 8, rank 7
Local work time: 6.604026, worked 6578400, iter 8, rank 4
Local work time: 6.946006, worked 6920080, iter 8, rank 6
Local work time: 7.934745, worked 7909780, iter 8, rank 5
Local work time: 2.745517, worked 2695260, iter 9, rank 2
Local work time: 3.073839, worked 3027080, iter 9, rank 1
Local work time: 3.289719, worked 3244580, iter 9, rank 3
Local work time: 4.615851, worked 4579960, iter 9, rank 0
Local work time: 5.059341, worked 5029700, iter 9, rank 4
Local work time: 6.615691, worked 6585520, iter 9, rank 7
Local work time: 6.984919, worked 6960200, iter 9, rank 5
Local work time: 7.900830, worked 7877700, iter 9, rank 6
Local work time: 2.709638, worked 2657620, iter 10, rank 3
Local work time: 2.901086, worked 2852440, iter 10, rank 2
Local work time: 3.587127, worked 3546240, iter 10, rank 4
Local work time: 4.365963, worked 4328340, iter 10, rank 1
Local work time: 5.401974, worked 5374420, iter 10, rank 5
Local work time: 6.240404, worked 6209840, iter 10, rank 0
Local work time: 7.262534, worked 7238040, iter 10, rank 6
Total time: 78.370040
Local work time: 7.818784, worked 7793060, iter 10, rank 7
Local work time: 2.791969, worked 2741200, iter 1, rank 3
Local work time: 2.831122, worked 2781060, iter 1, rank 4
Local work time: 3.883772, worked 3845260, iter 1, rank 5
Local work time: 3.887432, worked 3843960, iter 1, rank 2
Local work time: 5.805477, worked 5777260, iter 1, rank 6
Local work time: 5.835512, worked 5803600, iter 1, rank 1
Local work time: 7.578024, worked 7553920, iter 1, rank 7
Local work time: 7.679622, worked 7653740, iter 1, rank 0
Local work time: 2.775096, worked 2726420, iter 2, rank 4
Local work time: 2.906166, worked 2854460, iter 2, rank 5
Local work time: 3.568082, worked 3522000, iter 2, rank 3
Local work time: 4.224497, worked 4190260, iter 2, rank 6
Local work time: 5.411581, worked 5378560, iter 2, rank 2
Local work time: 6.208073, worked 6180560, iter 2, rank 7
Local work time: 7.309717, worked 7281900, iter 2, rank 1
